uniq_id,predicted_category_tree
c2d766ca982eca8304150849735ffef9,Clothing 
f449ec65dcbc041b6ae5e6a32717d01b,Footwear 
0973b37acd0c664e3de26e97e5571454,Clothing 
ce5a6818f7707e2cb61fdcdbba61f5ad,Clothing 
29c8d290caa451f97b1c32df64477a2c,Footwear 
4044c0ac52c1ee4b28777417651faf42,Clothing 
e54bc0a7c3429da2ebef0b30331fe3d2,Footwear 
c73e78fb440ff8972e0762daed4fc109,Clothing 
9aacdecceb404c74abddc513fd2756a8,Clothing 
83c53f8948f508f51d2249b489ca8e7d,Pens & Stationery 
d95b0456a0350bc42f2393c6e84b0f09,Clothing 
c275ee5ac19f774a3ef7da71b40aabd8,Footwear 
4f3511c33a6869b1d5102cd97818ef00,Clothing 
ea98a65ad1e1b8688eddf89fbc7b3e27,Clothing 
7a7ba93ab20a2b50fd5a7dc74bcba063,Clothing 
9c26a5d85a59d6a34a199ae1df836ec3,Footwear 
bb41283056536d7af11e994ba4f9db81,Clothing 
171e0bcea390c17fd70e3ffa6c2cd187,Clothing 
a60ebb7803c6a31795de3f8949cb6f98,Clothing 
e71017e224688489edfe856f2308806d,Clothing 
6286847ee2da18f587503db49511c539,Pens & Stationery 
0686fec9b70e5039583a38119ca0c835,Pens & Stationery 
ea2406dc597bee2abb6b867fa668501f,Pens & Stationery 
5935ed077915347dc695744df68c565c,Clothing 
89fcdddaad50084e395d0928a7426afe,Pens & Stationery 
b9b183aa18d3a721d2ac23e7184525b0,Clothing 
dee64864c0419bec80fbbb94d19bc40d,"Bags, Wallets & Belts "
595f55f2c1293f07ea9ec9fa2bb39f46,Clothing 
547b6585272473ae006bcfbdb47b6ae0,Footwear 
f6ae9e271a1d4469b4f41124e001e1cc,Home Decor & Festive Needs 
f5b22eaa5f79e67209612997f4aa215d,Automotive 
e9eb010ed8313f65f0e049fc3fcffe87,Tools & Hardware 
d8dfa5cfc972119fb2fb7ed330b8be54,Tools & Hardware 
d620fa0d35825bb3c0717e9d3446cc97,Clothing 
7a7e587d3344885bdb8c77f8b7679483,"Bags, Wallets & Belts "
7db2acfee8298ef8c687d688147c69be,"Bags, Wallets & Belts "
8beb2187f33659971647812d8f95af73,Footwear 
7b72c92c2f6c40268628ec5f14c6d590,Baby Care 
64d5d4a258243731dc7bbb1eef49ad74,Baby Care 
